path,md5,n_pts,n_raw_ge0,f_min,f_max,hdr_row,V,I0,L3,L4,xlsx_loss,s2p_loss,date,time,link_max_abs,cal_minus_rawtot_maxabs,tot_minus_prblnk_maxabs,ipd_mean,ipd_min,ipd_max,voa_min,voa_max,cols,probe_1G,f_at_1G,probe_5G,f_at_5G,probe_10G,f_at_10G,probe_15G,f_at_15G,probe_20G,f_at_20G,probe_25G,f_at_25G,probe_30G,f_at_30G,s2p,fam_applied,rms_to_A,rms_to_B
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/new cal/Bias_-5V_Iph_1mA.xlsx,528bb79eb16d1e2baf82d9572c1fad95,70,0,0.5,36.83,14,-5.000000E+00 V,-136.184 (mA),1555.6 (nm),1555.021 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,18:19:08,0.0,3.552713678800501e-15,0.0,-136.1618142857143,-136.185,-136.145,3.694,3.733,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,4.75,0.47,10.0,0.88,15.17,1.07,19.83,1.2,25.0,1.14,30.08,S21_cal_bias_tee_cal.s2p,A,0.013377533977608005,0.3326473894595984
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/new cal/Bias_-5V_Iph_3mA.xlsx,0e629b859484154ea02eb29d0796f960,70,1,0.5,36.67,14,-5.000000E+00 V,-138.089 (mA),1555.6 (nm),1555.020 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,19:26:52,0.0,0.0099999999999997,0.0,-138.1080285714286,-138.146,-138.073,8.059,8.1,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,4.75,0.48,10.17,0.88,15.17,1.08,20.0,1.2,25.17,1.07,29.75,S21_cal_bias_tee_cal.s2p,A,0.011839347397162754,0.34033657679897755
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/new cal/Bias_-5V_Iph_5mA.xlsx,1fd50c99ec8ed6c34e0828edb87ca35d,70,1,0.33,36.83,14,-5.000000E+00 V,-139.963 (mA),1555.6 (nm),1555.025 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,19:43:32,0.0,0.0099999999999997,0.0,-140.00220000000002,-140.072,-139.934,10.207,10.247,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,5.08,0.46,9.83,0.87,15.0,1.08,20.17,1.2,24.83,1.13,30.25,S21_cal_bias_tee_cal.s2p,A,0.014460620343889091,0.34360619521671076
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/new cal/Bias_-7V_Iph_1mA_33ohm.xlsx,e6e56229f34acb0b0714e50d64510f80,70,0,0.5,36.67,14,-7.000000E+00 V,-176.747 (mA),1555.6 (nm),1555.020 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,17:55:28,0.0,0.0100000000000015,0.0,-176.7103,-176.757,-176.66,3.697,3.735,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm)|Unnamed: 8,0.22,1.0,0.32,4.75,0.48,10.17,0.88,15.17,1.08,20.0,1.2,25.0,1.07,29.75,S21_cal_bias_tee_cal.s2p,A,0.011305333841382884,0.3454893010541094
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/36 ohm/test.xlsx,5d2a3ffbb45f9448cad8952771711cee,7,1,0.33,3.25,14,-7.000000E+00 V,-166.85 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,14:53:25,0.0,3.552713678800501e-15,0.0,-166.8485714285714,-166.867,-166.835,2.516,2.524,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.21,0.83,,,,,,,,,,,,,S21_cal_bias_tee_cal.s2p,B,0.04472135954999617,2.563950248511419e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/Bias_-3V_Iph_1mA.xlsx,e7dbc8243128fba3942f83a97cf05ad9,60,0,0.5,31.08,14,-3.000000E+00 V,-54.173 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,16:08:35,0.0,3.552713678800501e-15,0.0,-54.1626,-54.173,-54.144,3.376,3.418,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.4,5.08,0.29,10.17,0.67,14.83,1.49,20.0,1.23,25.0,1.24,29.92,S21_cal_bias_tee_cal.s2p,B,0.3261046588843324,1.3384213234028293e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/Bias_-5V_Iph_0.5mA.xlsx,e7e5188544d93646594a671aa3a43f9b,60,0,0.5,31.08,14,-5.000000E+00 V,-86.719 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,16:27:36,0.0,7.105427357601002e-15,0.0,-86.721,-86.726,-86.716,0.393,0.432,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.4,5.08,0.35,10.0,0.67,14.83,1.6,20.17,1.22,25.17,1.24,29.92,S21_cal_bias_tee_cal.s2p,B,0.32749439976799555,1.7710290309204779e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/Bias_-5V_Iph_1mA.xlsx,0d0979da0ab49e2e5773b09e902dbfd2,60,0,0.67,31.33,14,-5.000000E+00 V,-87.258 (mA),1555.6 (nm),1555.023 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,15:41:58,0.0,3.552713678800501e-15,0.0,-87.24774999999997,-87.258,-87.241,3.371,3.409,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.18,0.67,0.41,5.25,0.33,9.83,0.69,15.0,1.36,19.83,1.23,24.83,1.25,30.25,S21_cal_bias_tee_cal.s2p,B,0.3264225278173467,1.6289157510182218e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/Bias_-5V_Iph_3mA.xlsx,314f61cc9897360daaecc7a5de9963b6,60,0,0.33,30.58,14,-5.000000E+00 V,-89.194 (mA),1555.6 (nm),1555.021 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,16:45:22,0.0,1.7763568394002505e-15,0.0,-89.22341666666667,-89.274,-89.184,8.147,8.18,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.21,0.83,0.38,4.75,0.33,9.83,0.67,14.83,1.6,20.17,1.23,24.83,1.26,30.08,S21_cal_bias_tee_cal.s2p,B,0.32213868648973737,1.2043062913782417e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/Bias_-5V_Iph_5mA_60ohm.xlsx,78663eff57dc36664ddd8dc07cd53dce,60,1,0.33,30.75,14,-5.000000E+00 V,-91.068 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,17:00:51,0.0,1.7763568394002505e-15,0.0,-91.09246666666668,-91.155,-91.044,10.262,10.3,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.21,0.83,0.39,4.92,0.33,9.83,0.69,15.0,1.6,20.17,1.23,24.83,1.25,30.25,S21_cal_bias_tee_cal.s2p,B,0.2985416531140465,1.0253084585312011e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/Bias_-7V_Iph_1mA.xlsx,2d00d55bbdfe825858bc8e1b10cc56d9,60,1,0.83,31.33,14,-7.000000E+00 V,-115.51 (mA),1555.6 (nm),1555.021 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,15:15:44,0.0,1.0500000000000007,1.0499999999999998,-115.46723333333333,-115.51,-115.439,3.373,3.415,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm)|Unnamed: 8|Unnamed: 9|Unnamed: 10|Unnamed: 11,0.21,0.83,0.4,5.08,0.33,9.83,0.67,14.83,1.6,20.17,1.23,24.83,1.24,29.92,S21_cal_bias_tee_cal.s2p,B,0.32937935763081483,1.409382291859954e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/new cal/Bias_-3V_Iph_1mA.xlsx,97278bd3fe673e43a7ca3f8fa2bfaa3d,60,0,0.5,31.08,14,-3.000000E+00 V,-54.173 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,16:08:35,0.0,0.0100000000000015,0.0,-54.1626,-54.173,-54.144,3.376,3.418,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,5.08,0.48,10.17,0.85,14.83,1.08,20.0,1.2,25.0,1.11,29.92,S21_cal_bias_tee_cal.s2p,A,0.007651240119069521,0.32592176975464526
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/new cal/Bias_-5V_Iph_0_5mA.xlsx,d24ef3ed353ad030510932e6749adeb6,60,0,0.5,31.08,14,-5.000000E+00 V,-86.719 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,16:27:36,0.0,7.105427357601002e-15,0.0,-86.721,-86.726,-86.716,0.393,0.432,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,5.08,0.47,10.0,0.85,14.83,1.08,20.17,1.2,25.17,1.11,29.92,S21_cal_bias_tee_cal.s2p,A,0.007430218168151338,0.32767361810191575
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/new cal/Bias_-5V_Iph_1mA.xlsx,6d6220aaf8cb4f2df45769971e519549,60,0,0.67,31.33,14,-5.000000E+00 V,-87.258 (mA),1555.6 (nm),1555.023 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,15:41:58,0.0,3.552713678800501e-15,0.0,-87.24774999999997,-87.258,-87.241,3.371,3.409,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.15,0.67,0.33,5.25,0.46,9.83,0.87,15.0,1.07,19.83,1.2,24.83,1.13,30.25,S21_cal_bias_tee_cal.s2p,A,0.008062257748298314,0.3271798689813702
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/new cal/Bias_-5V_Iph_3mA.xlsx,16af373e469e914a297f57d4915e3b93,60,0,0.33,30.58,14,-5.000000E+00 V,-89.194 (mA),1555.6 (nm),1555.021 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,16:45:22,0.0,0.0099999999999997,0.0,-89.22341666666667,-89.274,-89.184,8.147,8.18,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.18,0.83,0.32,4.75,0.46,9.83,0.85,14.83,1.08,20.17,1.2,24.83,1.14,30.08,S21_cal_bias_tee_cal.s2p,A,0.0074161984870957445,0.32165457662944374
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/new cal/Bias_-5V_Iph_5mA.xlsx,13359b3e26bad717b2de313204161689,60,1,0.33,30.75,14,-5.000000E+00 V,-91.068 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,17:00:51,0.0,1.7763568394002505e-15,0.0,-91.09246666666668,-91.155,-91.044,10.262,10.3,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.18,0.83,0.32,4.92,0.46,9.83,0.87,15.0,1.08,20.17,1.2,24.83,1.13,30.25,S21_cal_bias_tee_cal.s2p,A,0.009019752336034095,0.29819513574679724
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/55 ohm/new cal/Bias_-7V_Iph_1mA_55ohm.xlsx,728c5d8d028cc32210d5a0857e7d5a4c,59,0,0.83,31.33,14,-7.000000E+00 V,-115.51 (mA),1555.6 (nm),1555.021 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,15:15:44,0.0,0.009999999999998,0.0,-115.46650847457626,-115.501,-115.439,3.373,3.408,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm)|Unnamed: 8,0.18,0.83,0.32,5.08,0.46,9.83,0.85,14.83,1.08,20.17,1.2,24.83,1.11,29.92,S21_cal_bias_tee_cal.s2p,A,0.007715808690965639,0.3291746226600552
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/Bias_-3V_Iph_1mA.xlsx,6ef93b56c907aad2b14a20e051a60809,40,0,0.33,19.33,14,-3.000000E+00 V,-1.036 (mA),1555.6 (nm),1555.009 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,12:28:17,0.0,3.552713678800501e-15,0.0,-1.034125,-1.042,-1.025,3.229,3.315,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.21,0.83,0.4,5.08,0.35,10.0,0.67,14.83,,,,,,,S21_cal_bias_tee_cal.s2p,B,0.3087555667514347,1.7199501139797033e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/Bias_-5V_Iph_0.5mA_30GHz.xlsx,ba2fdbd31a4eadfdaa4f0bd3cc75bafb,60,0,0.5,30.58,14,-5.000000E+00 V,-0.509 (mA),1555.6 (nm),1555.012 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,13:42:36,0.0,3.552713678800501e-15,0.0,-0.5130333333333332,-0.518,-0.508,0.296,0.336,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.4,5.08,0.33,9.83,0.63,14.67,1.3,19.67,1.23,25.0,1.24,29.92,S21_cal_bias_tee_cal.s2p,B,0.327728416852633,1.8562096728480568e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/Bias_-5V_Iph_1mA.xlsx,18d0ca4a245538e172ec21c0841898b5,40,0,0.5,19.5,14,-5.000000E+00 V,-1.011 (mA),1555.6 (nm),1555.011 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,12:42:00,0.0,3.552713678800501e-15,0.0,-1.024825,-1.035,-1.011,3.305,3.335,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.39,4.92,0.29,10.17,0.67,14.83,,,,,,,S21_cal_bias_tee_cal.s2p,B,0.3005162225238428,1.6500917302310495e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/Bias_-5V_Iph_1mA_30GHz.xlsx,bd464505d9f086bf579800e02c1db6f6,60,1,0.5,29.92,14,-5.000000E+00 V,-1.01 (mA),1555.6 (nm),1555.012 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,13:01:34,0.0,3.552713678800501e-15,0.0,-1.0162666666666664,-1.029,-1.01,3.254,3.322,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.4,5.08,0.35,10.0,0.67,14.83,1.36,19.83,1.23,24.83,,,S21_cal_bias_tee_cal.s2p,B,0.33019139064128683,1.2889094554312888e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/Bias_-5V_Iph_3mA_30GHz.xlsx,e356e666beb5b1b936412c84a5399940,60,0,0.5,31.08,14,-5.000000E+00 V,-3.048 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,13:59:43,0.0,1.7763568394002505e-15,0.0,-3.087533333333334,-3.139,-3.046,8.215,8.246,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.41,5.25,0.29,10.17,0.69,15.0,1.6,20.17,1.22,25.17,1.24,29.92,S21_cal_bias_tee_cal.s2p,B,0.32982709896661516,1.0971939712610749e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/Bias_-5V_Iph_5mA_30GHz_WO.xlsx,8cc6bca0e850bde2448c409ee24b2ee3,60,0,0.5,30.92,14,-5.000000E+00 V,-5.066 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,14:18:32,0.0,1.7763568394002505e-15,0.0,-5.101366666666666,-5.174,-5.046,10.457,10.492,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.23,1.0,0.38,4.75,0.33,9.83,0.67,14.83,1.6,20.17,1.22,25.17,1.18,29.75,S21_cal_bias_tee_cal.s2p,B,0.3297681170448163,9.905280161957225e-16
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/Bias_-7V_Iph_1mA_30GHz.xlsx,ad4e5a6dfb5bb609fc08f2704091e7b7,60,0,0.33,30.08,14,-7.000000E+00 V,-1.003 (mA),1555.6 (nm),1555.012 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,13:22:08,0.0,3.552713678800501e-15,0.0,-1.0106666666666666,-1.021,-1.001,3.272,3.326,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.21,0.83,0.39,4.92,0.33,9.83,0.63,14.67,1.6,20.17,1.22,25.17,1.26,30.08,S21_cal_bias_tee_cal.s2p,B,0.329317476001502,1.4255309751295167e-15
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/new cal/Bias_-3V_Iph_1mA.xlsx,5ef5551c0a0be56d5dfad6532fe7372e,70,1,0.67,37.0,14,-3.000000E+00 V,-85.618 (mA),1555.6 (nm),1555.025 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,18:41:43,0.0,0.0100000000000015,0.0,-85.6204857142857,-85.631,-85.608,3.685,3.724,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.25,1.17,0.32,4.92,0.47,10.0,0.83,14.67,1.08,20.0,1.2,25.17,1.11,29.92,S21_cal_bias_tee_cal.s2p,A,0.012876100884800545,0.3426410637251825
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/new cal/Bias_-5V_Iph_0_5mA_30GHz.xlsx,5f1edf618c4f3d099bd7f536a53b8411,60,0,0.5,30.58,14,-5.000000E+00 V,-0.509 (mA),1555.6 (nm),1555.012 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,13:42:36,0.0,3.552713678800501e-15,0.0,-0.5130333333333332,-0.518,-0.508,0.296,0.336,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,5.08,0.46,9.83,0.83,14.67,1.06,19.67,1.2,25.0,1.11,29.92,S21_cal_bias_tee_cal.s2p,A,0.007759390570549006,0.32813869019059627
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/new cal/Bias_-5V_Iph_1mA.xlsx,528bb79eb16d1e2baf82d9572c1fad95,70,0,0.5,36.83,14,-5.000000E+00 V,-136.184 (mA),1555.6 (nm),1555.021 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,18:19:08,0.0,3.552713678800501e-15,0.0,-136.1618142857143,-136.185,-136.145,3.694,3.733,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,4.75,0.47,10.0,0.88,15.17,1.07,19.83,1.2,25.0,1.14,30.08,S21_cal_bias_tee_cal.s2p,A,0.013377533977608005,0.3326473894595984
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/new cal/Bias_-5V_Iph_1mA_30GHz.xlsx,ccb48a28eb3bfbb7ae16fbeb5b263156,60,1,0.5,29.92,14,-5.000000E+00 V,-1.01 (mA),1555.6 (nm),1555.012 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,13:01:34,0.0,3.552713678800501e-15,0.0,-1.0162666666666664,-1.029,-1.01,3.254,3.322,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,5.08,0.47,10.0,0.85,14.83,1.07,19.83,1.2,24.83,,,S21_cal_bias_tee_cal.s2p,A,0.008143301834792322,0.3295039929286623
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/new cal/Bias_-5V_Iph_3mA_30GHz.xlsx,050419c4b5234a9152ada9ade1d9a1e6,60,0,0.5,31.08,14,-5.000000E+00 V,-3.048 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,13:59:43,0.0,1.7763568394002505e-15,0.0,-3.087533333333334,-3.139,-3.046,8.215,8.246,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.33,5.25,0.48,10.17,0.87,15.0,1.08,20.17,1.2,25.17,1.11,29.92,S21_cal_bias_tee_cal.s2p,A,0.008379029897686546,0.3297903374367825
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/new cal/Bias_-5V_Iph_5mA_30GHz.xlsx,8ddc69fa51c239c34784e4a6cbb0ca46,60,0,0.5,30.92,14,-5.000000E+00 V,-5.066 (mA),1555.6 (nm),1555.022 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,14:18:32,0.0,1.7763568394002505e-15,0.0,-5.101366666666666,-5.174,-5.046,10.457,10.492,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.22,1.0,0.32,4.75,0.46,9.83,0.85,14.83,1.08,20.17,1.2,25.17,1.07,29.75,S21_cal_bias_tee_cal.s2p,A,0.009416883027330033,0.32986108187134355
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/WO/new cal/Bias_-7V_Iph_1mA_30GHz_WO.xlsx,824604719dd627e01308ec2c6a4e1b3e,60,0,0.33,30.08,14,-7.000000E+00 V,-1.003 (mA),1555.6 (nm),1555.012 (nm),,C:/Users/jcchighpower/Desktop/Jeongyong/Bias_tee+cable_cal/S21_cal_bias_tee_cal.s2p,03/27/2026,13:22:08,0.0,3.552713678800501e-15,0.0,-1.0106666666666666,-1.021,-1.001,3.272,3.326,F_BEAT (GHz)|I_PD (mA)|Raw RF POW (dBm)|Total RF Loss (dB)|RF Probe Loss (dB)|RF Link Loss (dB)|Cal RF POW (dBm)|VOA P Actual (dBm),0.18,0.83,0.32,4.92,0.46,9.83,0.83,14.67,1.08,20.17,1.2,25.17,1.14,30.08,S21_cal_bias_tee_cal.s2p,A,0.007416198487095625,0.32914282614087165
